file,bytes,sha256
panel_master_base.csv,151453,7a7146f4f3bed14d55e0cd30ebcf7572a95c82e1595a1ba29319cad5896c7aaa
SOURCE_FINAL_so_hoa.xlsx,94256,ddded1fa810930ab4c8e497e91221cdc40eb81f39f181efcdddb1cc41d82fac7
panel_master (1).csv,152154,9fcfc5073e5f88a3e5c1dc9b8b80892a1de4c782691404beeb0fbaf1dd45a89b
panel_master.csv,152154,9fcfc5073e5f88a3e5c1dc9b8b80892a1de4c782691404beeb0fbaf1dd45a89b
so phong chi nhanh.xlsx,94256,ddded1fa810930ab4c8e497e91221cdc40eb81f39f181efcdddb1cc41d82fac7
SOFTWARE_SOURCE_CLEANED.csv,21528,5d3650bc888d4dcc81587d738f4ccdc7ea25ae9b926b6dc6ab49595e6357a688
SOFTWARE_COVERAGE_26BANKS.csv,711,abe610c0e34342916c17806c0a67faf8ab9e9b54f37e1973a234f1d8601c10c3
SOFTWARE_SOURCE_MERGE_AUDIT.csv,180,2ca8252cb1a6c9559e38b9bd30be687a035713359909b4394ed3e946c19e40a8
H1_H5_results_harmonized.csv,4909,af81d15296abb85a0c29956b8621cd15a3e784682b4496d1b5a71d31fe28d526
THREE_VARIABLE_SYMMETRIC_RESULTS.csv,16685,ce034f2c93a4894fb239e8888d02b21e96e00aad58c93dcee14fe9225fbe4bdc
THREE_VARIABLE_JOINT_RESULTS_RERUN.csv,3726,337c1d0c6129453fa1227e98d5edc15c2766d727866a4a707afb4eb1e9c64606
MODEL_DIAGNOSTICS_RESULTS.csv,4543,a14885a2d250cb19a72ed19bf47dfec650ff7ca869c725a1421c3ada3b8b843f
ENDOGENEITY_ROBUSTNESS_RESULTS.csv,18699,f304320398da8b45a4ffb2cc7c3ef0a29a50c3215388ace946231c0d84468617
MASTER_INPUT_MISSINGNESS_SUMMARY.csv,421,9949749fb6f30028245539907797953dc166e4c72289b057505237d1a0c05e26
MASTER_INPUT_MISSINGNESS_DETAIL.csv,927,3f780a6634f7af65a9d5ba1ab2172ac9a38fd8f045a20cb52dc19a75144d3eba
MASTER_COMMON_SAMPLE.json,181,96505d4ccf284c8f377f8b1c4aa7b4f987459f3d99ea991c3e4cb95d0aa08b6f
REDESIGNED_MODEL_RESULTS.csv,6427,ada76112718ec50ec9f05979e74bcd5ca2f7147e70e93975d03f9c013b67929c
REDESIGNED_MODEL_DIAGNOSTICS.csv,314,d3d7842f8ef03d66640273f65bbd6d70a1798851675a90f1fde682bc76ebf488
00_BUILD_FINAL_INPUTS.py,8569,cf39aab9c8feabe91b173e0c14e2af1a3f850bf6a131325b655da64a4485535b
H1_H5_UNIFIED_HARMONIZED.py,22487,814c0d5de32f3a2140ba457ad61a3b4e13b463eb59eef188abfe307af0015821
THREE_VARIABLE_SYMMETRIC_EVAL.py,8940,c5f8ddd7f5d04c400a772ef7d4986d7f4ec06c1f07e20386308c6d16dab8b8c7
THREE_VARIABLE_JOINT_CHECK_AUDITED.py,4287,a2cf11e690f677bc46422a2277a05f66668a9328cb0df832b01fd915ad1eb632
06_MODEL_DIAGNOSTICS.py,11342,5316e9c0e5bf66b5b5d9cf2a391e07d48ecc2e44c31ec325af8ed5f65c6fbdba
07_ENDOGENEITY_ROBUSTNESS.py,6953,eceaa3d47c5932c109469cbd2651ba3fdb02c5a59d48ec053e5bfa8555225af4
08_MODEL_FAMILIES_REDESIGNED.py,7676,eb7ee94dc99852fe01598cb8b380ff180bd126666163e22916e05482fdbbb54a
